# This file has calculated legendre symbols (m/n)
# for 2 <= m, n <= 100, and n odd prime.
# The outputs look like [ m, n, legendre(m,n) ]
[ 43, 19, 1 ]
[ 43, 23, -1 ]
[ 43, 29, -1 ]
[ 43, 31, -1 ]
[ 43, 37, -1 ]
[ 43, 41, 1 ]
[ 43, 43, 0 ]
[ 43, 47, -1 ]
[ 43, 53, 1 ]
[ 43, 59, -1 ]
[ 43, 61, -1 ]
[ 43, 67, -1 ]
[ 43, 71, 1 ]
[ 43, 73, -1 ]
[ 43, 79, -1 ]
[ 43, 83, -1 ]
[ 43, 89, -1 ]
[ 43, 97, 1 ]
[ 44, 3, -1 ]
[ 44, 5, 1 ]
[ 44, 7, 1 ]
[ 44, 11, 0 ]
[ 44, 13, -1 ]
[ 44, 17, -1 ]
[ 44, 19, 1 ]
[ 44, 23, -1 ]
[ 44, 29, -1 ]
[ 44, 31, -1 ]
[ 44, 37, 1 ]
[ 44, 41, -1 ]
[ 44, 43, 1 ]
[ 44, 47, -1 ]
[ 44, 53, 1 ]
[ 44, 59, -1 ]
[ 44, 61, -1 ]
[ 44, 67, -1 ]
[ 44, 71, -1 ]
[ 44, 73, -1 ]
[ 44, 79, 1 ]
[ 44, 83, 1 ]
[ 44, 89, 1 ]
[ 44, 97, 1 ]
[ 45, 3, 0 ]
[ 45, 5, 0 ]
[ 45, 7, -1 ]
[ 45, 11, 1 ]
[ 45, 13, -1 ]
[ 45, 17, -1 ]
[ 45, 19, 1 ]
[ 45, 23, -1 ]
[ 45, 29, 1 ]
[ 45, 31, 1 ]
[ 45, 37, -1 ]
[ 45, 41, 1 ]
[ 45, 43, -1 ]
[ 45, 47, -1 ]
[ 45, 53, -1 ]
[ 45, 59, 1 ]
[ 45, 61, 1 ]
[ 45, 67, -1 ]
[ 45, 71, 1 ]
[ 45, 73, -1 ]
[ 45, 79, 1 ]
[ 45, 83, -1 ]
[ 45, 89, 1 ]
[ 45, 97, -1 ]
[ 46, 3, 1 ]
[ 46, 5, 1 ]
[ 46, 7, 1 ]
[ 46, 11, -1 ]
[ 46, 13, -1 ]
[ 46, 17, -1 ]
[ 46, 19, -1 ]
[ 46, 23, 0 ]
[ 46, 29, -1 ]
[ 46, 31, -1 ]
[ 46, 37, 1 ]
[ 46, 41, 1 ]
[ 46, 43, -1 ]
[ 46, 47, -1 ]
[ 46, 53, 1 ]
[ 46, 59, 1 ]
[ 46, 61, 1 ]
[ 46, 67, -1 ]
[ 46, 71, -1 ]
[ 46, 73, 1 ]
[ 46, 79, 1 ]
[ 46, 83, -1 ]
[ 46, 89, -1 ]
[ 46, 97, -1 ]
[ 47, 3, -1 ]
[ 47, 5, -1 ]
[ 47, 7, -1 ]
[ 47, 11, 1 ]
[ 47, 13, -1 ]
[ 47, 17, 1 ]
[ 47, 19, 1 ]
[ 47, 23, 1 ]
[ 47, 29, -1 ]
[ 47, 31, 1 ]
[ 47, 37, 1 ]
[ 47, 41, -1 ]
[ 47, 43, 1 ]
[ 47, 47, 0 ]
[ 47, 53, 1 ]
[ 47, 59, -1 ]
[ 47, 61, 1 ]
[ 47, 67, 1 ]
[ 47, 71, -1 ]
[ 47, 73, -1 ]
[ 47, 79, -1 ]
[ 47, 83, -1 ]
[ 47, 89, 1 ]
[ 47, 97, 1 ]
[ 48, 3, 0 ]
[ 48, 5, -1 ]
[ 48, 7, -1 ]
[ 48, 11, 1 ]
[ 48, 13, 1 ]
[ 48, 17, -1 ]
[ 48, 19, -1 ]
[ 48, 23, 1 ]
[ 48, 29, -1 ]
[ 48, 31, -1 ]
[ 48, 37, 1 ]
[ 48, 41, -1 ]
[ 48, 43, -1 ]
[ 48, 47, 1 ]
[ 48, 53, -1 ]
[ 48, 59, 1 ]
[ 48, 61, 1 ]
[ 48, 67, -1 ]
[ 48, 71, 1 ]
[ 48, 73, 1 ]
[ 48, 79, -1 ]
[ 48, 83, 1 ]
[ 48, 89, -1 ]
[ 48, 97, 1 ]
[ 49, 3, 1 ]
[ 49, 5, 1 ]
[ 49, 7, 0 ]
[ 49, 11, 1 ]
[ 49, 13, 1 ]
[ 49, 17, 1 ]
[ 49, 19, 1 ]
[ 49, 23, 1 ]
[ 49, 29, 1 ]
[ 49, 31, 1 ]
[ 49, 37, 1 ]
[ 49, 41, 1 ]
[ 49, 43, 1 ]
[ 49, 47, 1 ]
[ 49, 53, 1 ]
[ 49, 59, 1 ]
[ 49, 61, 1 ]
[ 49, 67, 1 ]
[ 49, 71, 1 ]
[ 49, 73, 1 ]
[ 49, 79, 1 ]
[ 49, 83, 1 ]
[ 49, 89, 1 ]
[ 49, 97, 1 ]
[ 50, 3, -1 ]
[ 50, 5, 0 ]
[ 50, 7, 1 ]
[ 50, 11, -1 ]
[ 50, 13, -1 ]
[ 50, 17, 1 ]
[ 50, 19, -1 ]
[ 50, 23, 1 ]
[ 50, 29, -1 ]
[ 50, 31, 1 ]
[ 50, 37, -1 ]
[ 50, 41, 1 ]
[ 50, 43, -1 ]
[ 50, 47, 1 ]
[ 50, 53, -1 ]
[ 50, 59, -1 ]
[ 50, 61, -1 ]
[ 50, 67, -1 ]
[ 50, 71, 1 ]
[ 50, 73, 1 ]
[ 50, 79, 1 ]
[ 50, 83, -1 ]
[ 50, 89, 1 ]
[ 50, 97, 1 ]
[ 51, 3, 0 ]
[ 51, 5, 1 ]
[ 51, 7, 1 ]
[ 51, 11, -1 ]
[ 51, 13, 1 ]
[ 51, 17, 0 ]
[ 51, 19, -1 ]
[ 51, 23, -1 ]
[ 51, 29, 1 ]
[ 51, 31, 1 ]
[ 51, 37, -1 ]
[ 51, 41, 1 ]
[ 51, 43, -1 ]
[ 51, 47, 1 ]
[ 51, 53, -1 ]
[ 51, 59, 1 ]
[ 51, 61, -1 ]
[ 51, 67, -1 ]
[ 51, 71, -1 ]
[ 51, 73, -1 ]
[ 51, 79, 1 ]
[ 51, 83, 1 ]
[ 51, 89, -1 ]
[ 51, 97, -1 ]
[ 52, 3, 1 ]
[ 52, 5, -1 ]
[ 52, 7, -1 ]
[ 52, 11, -1 ]
[ 52, 13, 0 ]
[ 52, 17, 1 ]
[ 52, 19, -1 ]
[ 52, 23, 1 ]
[ 52, 29, 1 ]
[ 52, 31, -1 ]
[ 52, 37, -1 ]
[ 52, 41, -1 ]
[ 52, 43, 1 ]
[ 52, 47, -1 ]
[ 52, 53, 1 ]
[ 52, 59, -1 ]
[ 52, 61, 1 ]
[ 52, 67, -1 ]
[ 52, 71, -1 ]
[ 52, 73, -1 ]
[ 52, 79, 1 ]
[ 52, 83, -1 ]
[ 52, 89, -1 ]
[ 52, 97, -1 ]
[ 53, 3, -1 ]
[ 53, 5, -1 ]
[ 53, 7, 1 ]
[ 53, 11, 1 ]
[ 53, 13, 1 ]
[ 53, 17, 1 ]
[ 53, 19, -1 ]
[ 53, 23, -1 ]
[ 53, 29, 1 ]
[ 53, 31, -1 ]
[ 53, 37, 1 ]
[ 53, 41, -1 ]
[ 53, 43, 1 ]
[ 53, 47, 1 ]
[ 53, 53, 0 ]
[ 53, 59, 1 ]
[ 53, 61, -1 ]
[ 53, 67, -1 ]
[ 53, 71, -1 ]
[ 53, 73, -1 ]
[ 53, 79, -1 ]
[ 53, 83, -1 ]
[ 53, 89, 1 ]
[ 53, 97, 1 ]
[ 54, 3, 0 ]
[ 54, 5, 1 ]
[ 54, 7, -1 ]
[ 54, 11, -1 ]
[ 54, 13, -1 ]
[ 54, 17, -1 ]
[ 54, 19, 1 ]
[ 54, 23, 1 ]
[ 54, 29, 1 ]
[ 54, 31, -1 ]
[ 54, 37, -1 ]
[ 54, 41, -1 ]
[ 54, 43, 1 ]
[ 54, 47, 1 ]
[ 54, 53, 1 ]
[ 54, 59, -1 ]
[ 54, 61, -1 ]
[ 54, 67, 1 ]
[ 54, 71, 1 ]
[ 54, 73, 1 ]
[ 54, 79, -1 ]
[ 54, 83, -1 ]
[ 54, 89, -1 ]
[ 54, 97, 1 ]
[ 55, 3, 1 ]
[ 55, 5, 0 ]
[ 55, 7, -1 ]
[ 55, 11, 0 ]
[ 55, 13, 1 ]
[ 55, 17, 1 ]
[ 55, 19, 1 ]
[ 55, 23, 1 ]
[ 55, 29, -1 ]
[ 55, 31, -1 ]
[ 55, 37, -1 ]
[ 55, 41, -1 ]
[ 55, 43, -1 ]
[ 55, 47, 1 ]
[ 55, 53, -1 ]
[ 55, 59, -1 ]
[ 55, 61, -1 ]
[ 55, 67, 1 ]
[ 55, 71, -1 ]
[ 55, 73, 1 ]
[ 55, 79, 1 ]
[ 55, 83, -1 ]
[ 55, 89, 1 ]
[ 55, 97, -1 ]
[ 56, 3, -1 ]
[ 56, 5, 1 ]
[ 56, 7, 0 ]
[ 56, 11, 1 ]
[ 56, 13, 1 ]
[ 56, 17, -1 ]
[ 56, 19, -1 ]
[ 56, 23, -1 ]
[ 56, 29, -1 ]
[ 56, 31, 1 ]
[ 56, 37, -1 ]
[ 56, 41, -1 ]
[ 56, 43, 1 ]
[ 56, 47, 1 ]
[ 56, 53, -1 ]
[ 56, 59, -1 ]
[ 56, 61, 1 ]
[ 56, 67, 1 ]
[ 56, 71, -1 ]
[ 56, 73, -1 ]
[ 56, 79, -1 ]
[ 56, 83, -1 ]
[ 56, 89, -1 ]
[ 56, 97, -1 ]
[ 57, 3, 0 ]
[ 57, 5, -1 ]
[ 57, 7, 1 ]
[ 57, 11, -1 ]
[ 57, 13, -1 ]
[ 57, 17, -1 ]
[ 57, 19, 0 ]
[ 57, 23, -1 ]
[ 57, 29, 1 ]
[ 57, 31, -1 ]
[ 57, 37, -1 ]
[ 57, 41, 1 ]
[ 57, 43, 1 ]
[ 57, 47, -1 ]
[ 57, 53, 1 ]
[ 57, 59, 1 ]
[ 57, 61, 1 ]
[ 57, 67, -1 ]
[ 57, 71, 1 ]
[ 57, 73, 1 ]
[ 57, 79, -1 ]
[ 57, 83, -1 ]
[ 57, 89, 1 ]
[ 57, 97, -1 ]
[ 58, 3, 1 ]
[ 58, 5, -1 ]
[ 58, 7, 1 ]
[ 58, 11, 1 ]
[ 58, 13, -1 ]
[ 58, 17, -1 ]
[ 58, 19, 1 ]
[ 58, 23, 1 ]
[ 58, 29, 0 ]
[ 58, 31, -1 ]
[ 58, 37, 1 ]
[ 58, 41, -1 ]
[ 58, 43, 1 ]
[ 58, 47, -1 ]
[ 58, 53, -1 ]
[ 58, 59, -1 ]
[ 58, 61, 1 ]
[ 58, 67, -1 ]
[ 58, 71, 1 ]
[ 58, 73, -1 ]
[ 58, 79, -1 ]
[ 58, 83, -1 ]
[ 58, 89, -1 ]
[ 58, 97, -1 ]
[ 59, 3, -1 ]
[ 59, 5, 1 ]
[ 59, 7, -1 ]
[ 59, 11, 1 ]
[ 59, 13, -1 ]
[ 59, 17, 1 ]
[ 59, 19, -1 ]
[ 59, 23, 1 ]
[ 59, 29, 1 ]
[ 59, 31, 1 ]
[ 59, 37, -1 ]
[ 59, 41, 1 ]
[ 59, 43, 1 ]
[ 59, 47, 1 ]
[ 59, 53, 1 ]
[ 59, 59, 0 ]
[ 59, 61, -1 ]
[ 59, 67, 1 ]
[ 59, 71, -1 ]
[ 59, 73, -1 ]
[ 59, 79, -1 ]
[ 59, 83, 1 ]
[ 59, 89, -1 ]
[ 59, 97, -1 ]
[ 60, 3, 0 ]
[ 60, 5, 0 ]
[ 60, 7, 1 ]
[ 60, 11, 1 ]
[ 60, 13, -1 ]
[ 60, 17, 1 ]
[ 60, 19, -1 ]
[ 60, 23, -1 ]
[ 60, 29, -1 ]
[ 60, 31, -1 ]
[ 60, 37, -1 ]
[ 60, 41, -1 ]
[ 60, 43, 1 ]
[ 60, 47, -1 ]
[ 60, 53, 1 ]
[ 60, 59, 1 ]
[ 60, 61, 1 ]
[ 60, 67, 1 ]
[ 60, 71, 1 ]
[ 60, 73, -1 ]
[ 60, 79, -1 ]
[ 60, 83, -1 ]
[ 60, 89, -1 ]
[ 60, 97, -1 ]
[ 61, 3, 1 ]
[ 61, 5, 1 ]
[ 61, 7, -1 ]
[ 61, 11, -1 ]
[ 61, 13, 1 ]
[ 61, 17, -1 ]
[ 61, 19, 1 ]
[ 61, 23, -1 ]
[ 61, 29, -1 ]
[ 61, 31, -1 ]
[ 61, 37, -1 ]
[ 61, 41, 1 ]
[ 61, 43, -1 ]
[ 61, 47, 1 ]
[ 61, 53, -1 ]
[ 61, 59, -1 ]
[ 61, 61, 0 ]
[ 61, 67, -1 ]
[ 61, 71, -1 ]
[ 61, 73, 1 ]
[ 61, 79, -1 ]
[ 61, 83, 1 ]
[ 61, 89, -1 ]
[ 61, 97, 1 ]
[ 62, 3, -1 ]
[ 62, 5, -1 ]
[ 62, 7, -1 ]
[ 62, 11, -1 ]
[ 62, 13, 1 ]
[ 62, 17, -1 ]
[ 62, 19, 1 ]
[ 62, 23, 1 ]
[ 62, 29, 1 ]
[ 62, 31, 0 ]
[ 62, 37, 1 ]
[ 62, 41, 1 ]
[ 62, 43, -1 ]
[ 62, 47, -1 ]
[ 62, 53, 1 ]
[ 62, 59, 1 ]
[ 62, 61, 1 ]
[ 62, 67, 1 ]
[ 62, 71, -1 ]
[ 62, 73, -1 ]
[ 62, 79, 1 ]
[ 62, 83, -1 ]
[ 62, 89, -1 ]
[ 62, 97, 1 ]
[ 63, 3, 0 ]
[ 63, 5, -1 ]
[ 63, 7, 0 ]
[ 63, 11, -1 ]
[ 63, 13, -1 ]
[ 63, 17, -1 ]
[ 63, 19, 1 ]
[ 63, 23, -1 ]
[ 63, 29, 1 ]
[ 63, 31, 1 ]
[ 63, 37, 1 ]
[ 63, 41, -1 ]
[ 63, 43, -1 ]
[ 63, 47, 1 ]
[ 63, 53, 1 ]
[ 63, 59, 1 ]
[ 63, 61, -1 ]
[ 63, 67, -1 ]
[ 63, 71, -1 ]
[ 63, 73, -1 ]
[ 63, 79, -1 ]
[ 63, 83, 1 ]
[ 63, 89, -1 ]
[ 63, 97, -1 ]
[ 64, 3, 1 ]
[ 64, 5, 1 ]
[ 64, 7, 1 ]
[ 64, 11, 1 ]
[ 64, 13, 1 ]
[ 64, 17, 1 ]
[ 64, 19, 1 ]
[ 64, 23, 1 ]
[ 64, 29, 1 ]
[ 64, 31, 1 ]
[ 64, 37, 1 ]
[ 64, 41, 1 ]
[ 64, 43, 1 ]
[ 64, 47, 1 ]
[ 64, 53, 1 ]
[ 64, 59, 1 ]
[ 64, 61, 1 ]
[ 64, 67, 1 ]
[ 64, 71, 1 ]
[ 64, 73, 1 ]
[ 64, 79, 1 ]
[ 64, 83, 1 ]
[ 64, 89, 1 ]
[ 64, 97, 1 ]
[ 65, 3, -1 ]
[ 65, 5, 0 ]
[ 65, 7, 1 ]
[ 65, 11, -1 ]
[ 65, 13, 0 ]
[ 65, 17, -1 ]
[ 65, 19, -1 ]
[ 65, 23, -1 ]
[ 65, 29, 1 ]
[ 65, 31, -1 ]
[ 65, 37, 1 ]
[ 65, 41, -1 ]
[ 65, 43, -1 ]
[ 65, 47, 1 ]
[ 65, 53, -1 ]
[ 65, 59, -1 ]
[ 65, 61, 1 ]
[ 65, 67, 1 ]
[ 65, 71, -1 ]
[ 65, 73, 1 ]
[ 65, 79, 1 ]
[ 65, 83, 1 ]
[ 65, 89, -1 ]
[ 65, 97, 1 ]
[ 66, 3, 0 ]
[ 66, 5, 1 ]
[ 66, 7, -1 ]
[ 66, 11, 0 ]
[ 66, 13, 1 ]
[ 66, 17, 1 ]
[ 66, 19, 1 ]
[ 66, 23, -1 ]
[ 66, 29, -1 ]
[ 66, 31, 1 ]
[ 66, 37, -1 ]
[ 66, 41, 1 ]
[ 66, 43, 1 ]
[ 66, 47, -1 ]
[ 66, 53, 1 ]
[ 66, 59, 1 ]
[ 66, 61, 1 ]
[ 66, 67, -1 ]
[ 66, 71, -1 ]
[ 66, 73, -1 ]
[ 66, 79, -1 ]
[ 66, 83, -1 ]
[ 66, 89, -1 ]
[ 66, 97, 1 ]
[ 67, 3, 1 ]
[ 67, 5, -1 ]
[ 67, 7, 1 ]
[ 67, 11, 1 ]
[ 67, 13, -1 ]
[ 67, 17, 1 ]
[ 67, 19, -1 ]
[ 67, 23, -1 ]
[ 67, 29, 1 ]
[ 67, 31, 1 ]
[ 67, 37, 1 ]
[ 67, 41, -1 ]
[ 67, 43, 1 ]
[ 67, 47, -1 ]
[ 67, 53, -1 ]
[ 67, 59, -1 ]
[ 67, 61, -1 ]
[ 67, 67, 0 ]
[ 67, 71, -1 ]
[ 67, 73, 1 ]
[ 67, 79, 1 ]
[ 67, 83, -1 ]
[ 67, 89, 1 ]
[ 67, 97, -1 ]
[ 68, 3, -1 ]
[ 68, 5, -1 ]
[ 68, 7, -1 ]
[ 68, 11, -1 ]
[ 68, 13, 1 ]
[ 68, 17, 0 ]
[ 68, 19, 1 ]
[ 68, 23, -1 ]
[ 68, 29, -1 ]
[ 68, 31, -1 ]
[ 68, 37, -1 ]
[ 68, 41, -1 ]
[ 68, 43, 1 ]
[ 68, 47, 1 ]
[ 68, 53, 1 ]
[ 68, 59, 1 ]
[ 68, 61, -1 ]
[ 68, 67, 1 ]
[ 68, 71, -1 ]
[ 68, 73, -1 ]
[ 68, 79, -1 ]
[ 68, 83, 1 ]
[ 68, 89, 1 ]
[ 68, 97, -1 ]
[ 69, 3, 0 ]
[ 69, 5, 1 ]
[ 69, 7, -1 ]
[ 69, 11, 1 ]
[ 69, 13, 1 ]
[ 69, 17, 1 ]
[ 69, 19, -1 ]
[ 69, 23, 0 ]
[ 69, 29, -1 ]
[ 69, 31, 1 ]
[ 69, 37, -1 ]
[ 69, 41, -1 ]
[ 69, 43, -1 ]
[ 69, 47, -1 ]
[ 69, 53, 1 ]
[ 69, 59, -1 ]
[ 69, 61, -1 ]
[ 69, 67, -1 ]
[ 69, 71, -1 ]
[ 69, 73, 1 ]
[ 69, 79, -1 ]
[ 69, 83, 1 ]
[ 69, 89, 1 ]
[ 69, 97, -1 ]
[ 70, 3, 1 ]
[ 70, 5, 0 ]
[ 70, 7, 0 ]
[ 70, 11, 1 ]
[ 70, 13, -1 ]
[ 70, 17, 1 ]
[ 70, 19, -1 ]
[ 70, 23, 1 ]
[ 70, 29, -1 ]
[ 70, 31, 1 ]
[ 70, 37, 1 ]
[ 70, 41, -1 ]
[ 70, 43, -1 ]
[ 70, 47, -1 ]
[ 70, 53, 1 ]
[ 70, 59, -1 ]
[ 70, 61, 1 ]
[ 70, 67, -1 ]
[ 70, 71, -1 ]
[ 70, 73, 1 ]
[ 70, 79, -1 ]
[ 70, 83, 1 ]
[ 70, 89, -1 ]
[ 70, 97, 1 ]
[ 71, 3, -1 ]
[ 71, 5, 1 ]
[ 71, 7, 1 ]
[ 71, 11, 1 ]
[ 71, 13, -1 ]
[ 71, 17, -1 ]
[ 71, 19, -1 ]
[ 71, 23, 1 ]
[ 71, 29, 1 ]
[ 71, 31, 1 ]
[ 71, 37, 1 ]
[ 71, 41, -1 ]
[ 71, 43, -1 ]
[ 71, 47, 1 ]
[ 71, 53, -1 ]
[ 71, 59, 1 ]
[ 71, 61, -1 ]
[ 71, 67, 1 ]
[ 71, 71, 0 ]
[ 71, 73, 1 ]
[ 71, 79, -1 ]
[ 71, 83, -1 ]
[ 71, 89, 1 ]
[ 71, 97, -1 ]
[ 72, 3, 0 ]
[ 72, 5, -1 ]
[ 72, 7, 1 ]
[ 72, 11, -1 ]
[ 72, 13, -1 ]
[ 72, 17, 1 ]
[ 72, 19, -1 ]
[ 72, 23, 1 ]
[ 72, 29, -1 ]
[ 72, 31, 1 ]
[ 72, 37, -1 ]
[ 72, 41, 1 ]
[ 72, 43, -1 ]
[ 72, 47, 1 ]
[ 72, 53, -1 ]
[ 72, 59, -1 ]
[ 72, 61, -1 ]
[ 72, 67, -1 ]
[ 72, 71, 1 ]
[ 72, 73, 1 ]
[ 72, 79, 1 ]
[ 72, 83, -1 ]
[ 72, 89, 1 ]
[ 72, 97, 1 ]
[ 73, 3, 1 ]
[ 73, 5, -1 ]
[ 73, 7, -1 ]
[ 73, 11, -1 ]
[ 73, 13, -1 ]
[ 73, 17, -1 ]
[ 73, 19, 1 ]
[ 73, 23, 1 ]
[ 73, 29, -1 ]
[ 73, 31, -1 ]
[ 73, 37, 1 ]
[ 73, 41, 1 ]
[ 73, 43, -1 ]
[ 73, 47, -1 ]
[ 73, 53, -1 ]
[ 73, 59, -1 ]
[ 73, 61, 1 ]
[ 73, 67, 1 ]
[ 73, 71, 1 ]
[ 73, 73, 0 ]
[ 73, 79, 1 ]
[ 73, 83, -1 ]
[ 73, 89, 1 ]
[ 73, 97, 1 ]
[ 74, 3, -1 ]
[ 74, 5, 1 ]
[ 74, 7, 1 ]
[ 74, 11, -1 ]
[ 74, 13, 1 ]
[ 74, 17, -1 ]
[ 74, 19, 1 ]
[ 74, 23, -1 ]
[ 74, 29, 1 ]
[ 74, 31, -1 ]
[ 74, 37, 0 ]
[ 74, 41, 1 ]
[ 74, 43, 1 ]
[ 74, 47, 1 ]
[ 74, 53, -1 ]
[ 74, 59, 1 ]
[ 74, 61, 1 ]
[ 74, 67, -1 ]
[ 74, 71, 1 ]
[ 74, 73, 1 ]
[ 74, 79, -1 ]
[ 74, 83, -1 ]
[ 74, 89, -1 ]
[ 74, 97, -1 ]
[ 75, 3, 0 ]
[ 75, 5, 0 ]
[ 75, 7, -1 ]
[ 75, 11, 1 ]
[ 75, 13, 1 ]
[ 75, 17, -1 ]
[ 75, 19, -1 ]
[ 75, 23, 1 ]
[ 75, 29, -1 ]
[ 75, 31, -1 ]
[ 75, 37, 1 ]
[ 75, 41, -1 ]
[ 75, 43, -1 ]
[ 75, 47, 1 ]
[ 75, 53, -1 ]
[ 75, 59, 1 ]
[ 75, 61, 1 ]
[ 75, 67, -1 ]
[ 75, 71, 1 ]
[ 75, 73, 1 ]
[ 75, 79, -1 ]
[ 75, 83, 1 ]
[ 75, 89, -1 ]
[ 75, 97, 1 ]
[ 76, 3, 1 ]
[ 76, 5, 1 ]
[ 76, 7, -1 ]
[ 76, 11, -1 ]
[ 76, 13, -1 ]
[ 76, 17, 1 ]
[ 76, 19, 0 ]
[ 76, 23, -1 ]
[ 76, 29, -1 ]
[ 76, 31, 1 ]
[ 76, 37, -1 ]
[ 76, 41, -1 ]
[ 76, 43, -1 ]
[ 76, 47, -1 ]
[ 76, 53, -1 ]
[ 76, 59, 1 ]
[ 76, 61, 1 ]
[ 76, 67, 1 ]
[ 76, 71, 1 ]
[ 76, 73, 1 ]
[ 76, 79, 1 ]
[ 76, 83, -1 ]
[ 76, 89, -1 ]
[ 76, 97, -1 ]
[ 77, 3, -1 ]
[ 77, 5, -1 ]
[ 77, 7, 0 ]
[ 77, 11, 0 ]
[ 77, 13, 1 ]
[ 77, 17, 1 ]
[ 77, 19, 1 ]
[ 77, 23, 1 ]
[ 77, 29, -1 ]
[ 77, 31, -1 ]
[ 77, 37, 1 ]
[ 77, 41, 1 ]
[ 77, 43, -1 ]
[ 77, 47, -1 ]
[ 77, 53, 1 ]
[ 77, 59, -1 ]
[ 77, 61, 1 ]
[ 77, 67, 1 ]
[ 77, 71, 1 ]
[ 77, 73, 1 ]
[ 77, 79, -1 ]
[ 77, 83, 1 ]
[ 77, 89, -1 ]
[ 77, 97, -1 ]
[ 78, 3, 0 ]
[ 78, 5, -1 ]
[ 78, 7, 1 ]
[ 78, 11, 1 ]
[ 78, 13, 0 ]
[ 78, 17, -1 ]
[ 78, 19, -1 ]
[ 78, 23, 1 ]
[ 78, 29, 1 ]
[ 78, 31, 1 ]
[ 78, 37, 1 ]
[ 78, 41, 1 ]
[ 78, 43, 1 ]
[ 78, 47, -1 ]
[ 78, 53, 1 ]
[ 78, 59, 1 ]
[ 78, 61, -1 ]
[ 78, 67, -1 ]
[ 78, 71, -1 ]
[ 78, 73, -1 ]
[ 78, 79, -1 ]
[ 78, 83, 1 ]
[ 78, 89, 1 ]
[ 78, 97, -1 ]
[ 79, 3, 1 ]
[ 79, 5, 1 ]
[ 79, 7, 1 ]
[ 79, 11, -1 ]
[ 79, 13, 1 ]
[ 79, 17, -1 ]
[ 79, 19, -1 ]
[ 79, 23, -1 ]
[ 79, 29, -1 ]
[ 79, 31, -1 ]
[ 79, 37, -1 ]
[ 79, 41, -1 ]
[ 79, 43, 1 ]
[ 79, 47, 1 ]
[ 79, 53, -1 ]
[ 79, 59, 1 ]
[ 79, 61, -1 ]
[ 79, 67, -1 ]
[ 79, 71, 1 ]
[ 79, 73, 1 ]
[ 79, 79, 0 ]
[ 79, 83, -1 ]
[ 79, 89, 1 ]
[ 79, 97, 1 ]
[ 80, 3, -1 ]
[ 80, 5, 0 ]
[ 80, 7, -1 ]
[ 80, 11, 1 ]
[ 80, 13, -1 ]
[ 80, 17, -1 ]
[ 80, 19, 1 ]
[ 80, 23, -1 ]
[ 80, 29, 1 ]
[ 80, 31, 1 ]
[ 80, 37, -1 ]
[ 80, 41, 1 ]
[ 80, 43, -1 ]
[ 80, 47, -1 ]
[ 80, 53, -1 ]
[ 80, 59, 1 ]
[ 80, 61, 1 ]
[ 80, 67, -1 ]
[ 80, 71, 1 ]
[ 80, 73, -1 ]
[ 80, 79, 1 ]
[ 80, 83, -1 ]
[ 80, 89, 1 ]
[ 80, 97, -1 ]
[ 81, 3, 0 ]
[ 81, 5, 1 ]
[ 81, 7, 1 ]
[ 81, 11, 1 ]
[ 81, 13, 1 ]
[ 81, 17, 1 ]
[ 81, 19, 1 ]
[ 81, 23, 1 ]
[ 81, 29, 1 ]
[ 81, 31, 1 ]
[ 81, 37, 1 ]
[ 81, 41, 1 ]
[ 81, 43, 1 ]
[ 81, 47, 1 ]
[ 81, 53, 1 ]
[ 81, 59, 1 ]
[ 81, 61, 1 ]
[ 81, 67, 1 ]
[ 81, 71, 1 ]
[ 81, 73, 1 ]
[ 81, 79, 1 ]
[ 81, 83, 1 ]
[ 81, 89, 1 ]
[ 81, 97, 1 ]
[ 82, 3, 1 ]
[ 82, 5, -1 ]
[ 82, 7, -1 ]
[ 82, 11, 1 ]
[ 82, 13, 1 ]
[ 82, 17, -1 ]
[ 82, 19, 1 ]
[ 82, 23, 1 ]
[ 82, 29, 1 ]
[ 82, 31, 1 ]
[ 82, 37, -1 ]
[ 82, 41, 0 ]
[ 82, 43, -1 ]
[ 82, 47, -1 ]
[ 82, 53, 1 ]
[ 82, 59, -1 ]
[ 82, 61, -1 ]
[ 82, 67, 1 ]
[ 82, 71, -1 ]
[ 82, 73, 1 ]
[ 82, 79, -1 ]
[ 82, 83, -1 ]
[ 82, 89, -1 ]
[ 82, 97, -1 ]
[ 83, 3, -1 ]
[ 83, 5, -1 ]
[ 83, 7, -1 ]
[ 83, 11, -1 ]
[ 83, 13, -1 ]
[ 83, 17, 1 ]
[ 83, 19, 1 ]
[ 83, 23, -1 ]
[ 83, 29, 1 ]
[ 83, 31, -1 ]
[ 83, 37, 1 ]
[ 83, 41, 1 ]
[ 83, 43, 1 ]
[ 83, 47, 1 ]
[ 83, 53, -1 ]
[ 83, 59, -1 ]
[ 83, 61, 1 ]
[ 83, 67, 1 ]
[ 83, 71, 1 ]
[ 83, 73, -1 ]
[ 83, 79, 1 ]
[ 83, 83, 0 ]
[ 83, 89, -1 ]
[ 83, 97, -1 ]
[ 84, 3, 0 ]
[ 84, 5, 1 ]
[ 84, 7, 0 ]
[ 84, 11, -1 ]
[ 84, 13, -1 ]
[ 84, 17, 1 ]
[ 84, 19, -1 ]
[ 84, 23, -1 ]
[ 84, 29, -1 ]
[ 84, 31, -1 ]
[ 84, 37, 1 ]
[ 84, 41, 1 ]
[ 84, 43, 1 ]
[ 84, 47, 1 ]
[ 84, 53, -1 ]
[ 84, 59, 1 ]
[ 84, 61, -1 ]
